schedule2,0.3956522,13,166,25
Gaussian,0.2235296,4,48,0
Stack,0.6,5,56,10
date-plus,0.45666650000000003,16,107,2
RecursiveSelectionSort,0.21428560000000002,1,22,1
print_tokens2,0.33125,7,282,30
countPositive,0.43333320000000003,1,10,0
replace,0.3126981,23,383,42
stats,0.3333332,2,32,4
totinfo,0.36,13,219,12
trashAndTakeOut,0.36,4,25,2
oddOrPos,0.45999999999999996,2,12,1
cal,0.6285718,4,26,0
jday-jdate,0.22000000000000003,5,56,1
CheckPalindrome,0.46666660000000004,3,12,1
boundedQueue,0.657143,6,68,6
Heap,0.5428573,4,58,2
Calculation,0.5384618,7,48,3
numZero,0.43333320000000003,1,10,0
findLast,0.62,3,11,0
UnixCal,0.3619044,8,150,4
findVal,0.38,2,9,0
schedule,0.4545456,12,170,18
LRS,0.5500001,3,56,7
InversePermutation,0.39999989999999996,4,23,0
power,0.36,2,14,0
DigitReverser,0.29999980000000004,1,23,0
testPad,0.4375,5,28,2
tcas,0.3250001,15,70,9
twoPred,0.3125,3,12,1
pcal,0.3828572,16,209,16
sum,0.35,2,9,0
quicksort,0.42000000000000004,3,36,1
MergeSort,0.28571430000000003,4,44,0
checkIt,0.5285713999999999,4,9,0
printPrimes,0.1999998,2,34,1
print_tokens,0.4736842,11,261,28
lastZero,0.25,1,10,0
Queue,0.8714287000000001,7,62,0
