Operator,Min MS,Q1 MS,Median MS,Mean MS,Q3 MS,Max MS,Std. Dev,Number TC,Number Mutants,Mutants/TC
u-SGLR,0.0,0.0,0.0,0.0005263157894736842,0.0,0.02,0.0032444284226152515,1,2,2
u-OIPM,0.0,0.0,0.0,0.0007518789473684212,0.0,0.028571400000000007,0.00463489311169547,1,2,2
u-SCRB,0.0,0.0,0.0,0.0008421052631578948,0.0,0.320,0.0051910854761844,1,2,2
u-OCOR,0.0,0.0,0.0,0.003933026315789474,0.0,0.104,0.018228539086155668,5,11,2
u-OBBN,0.0,0.0,0.0,0.004034978947368421,0.0,0.09375,0.016400089220771772,4,23,5
u-VGPR,0.0,0.0,0.0,0.004135342105263158,0.0,0.157143,0.025491960780751416,6,35,5
u-SBRn,0.0,0.0,0.0,0.004166665789473684,0.0,0.125,0.020844590292075152,2,2,1
u-SBRC,0.0,0.0,0.0,0.00445192105263158,0.0,0.1142856,0.019324337183894362,3,3,1
u-OBLN,0.0,0.0,0.0,0.004995852631578947,0.0,0.125,0.02131991695646745,4,23,5
u-OBAN,0.0,0.0,0.0,0.005653747368421052,0.0,0.15,0.025162551424007137,5,58,11
u-OBNG,0.0,0.0,0.0,0.005653747368421052,0.0,0.15,0.025162551424007137,5,36,7
u-OBSN,0.0,0.0,0.0,0.006337610526315789,0.0,0.18125,0.029912722909877815,5,24,4
u-OBRN,0.0,0.0,0.0,0.01037153947368421,0.0,0.21875,0.042319703963670685,8,71,8
u-OASA,0.0,0.0,0.0,0.018907939473684212,0.0,0.2615382,0.05575325669750233,16,58,3
u-OABA,0.0,0.0,0.0,0.019743110526315787,0.0,0.25384589999999996,0.056809999852689565,15,86,5
u-SSWM,0.0,0.0,0.0,0.021419926315789473,0.0,0.3500002,0.06372816272657822,28,101,3
u-OAEA,0.0,0.0,0.0,0.023764326315789473,0.0,0.2384613,0.05611706465057779,20,48,2
u-OAAA,0.0,0.0,0.0,0.024925884210526317,0.0,0.2466667,0.060880475048438354,20,173,8
u-VLAR,0.0,0.0,0.0,0.02549821842105263,0.0,0.19999979999999998,0.05377109897853978,13,41,3
u-VGAR,0.0,0.0,0.0,0.030400263157894732,0.0,0.4857143,0.09256004295366632,21,134,6
u-VLPR,0.0,0.0,0.0,0.03189388947368421,0.0,0.4666667000000001,0.08870392288507599,30,237,7
VLPR+VGPR,0.0,0.0,0.0,0.035502915789473684,0.0,0.4666667000000001,0.09303984393230307,36,272,7
u-SWDD,0.0,0.0,0.0,0.03869197105263158,0.036904650000000004,0.333333,0.0782283848684299,16,20,1
VLAR+VGAR,0.0,0.0,0.0,0.04141301315789473,0.0,0.4857143,0.09642205481193766,26,175,6
u-VSCR,0.0,0.0,0.0,0.043620123684210525,0.0,0.5125,0.12044289313659037,26,318,12
u-VGSR,0.0,0.0,0.0,0.05701714210526316,0.0,0.55,0.15223338835486647,75,1260,16
u-OLLN,0.0,0.0,0.014999950000000003,0.0654754552631579,0.113888775,0.285714,0.08692467183620073,43,98,2
u-SMVB,0.0,0.0,0.04495815,0.07525988421052632,0.11250017500000001,0.5333334,0.10750401741474602,30,59,1
u-OLNG,0.0,0.0,0.15,0.07554641578947369,0.13214272500000002,0.3714284,0.10280627305177686,40,302,7
u-OLBN,0.0,0.0,0.0183333,0.08068769210526316,0.125986775,0.428571,0.104503114933245,50,165,3
u-OLSN,0.0,0.0,0.018000000000000002,0.09144346315789476,0.17045459999999998,0.3999997,0.11149125644401006,59,178,3
