schedule2,0.4521739,14,212,34
Gaussian,0.2235296,4,72,0
Stack,0.6,5,65,15
date-plus,0.4733333,18,145,6
RecursiveSelectionSort,0.21428560000000002,1,24,2
print_tokens2,0.48125,10,393,49
countPositive,0.4999999,2,11,0
replace,0.39047580000000004,29,536,68
stats,0.3333332,2,40,4
totinfo,0.392,15,364,26
trashAndTakeOut,0.43,5,33,2
oddOrPos,0.5599999999999999,3,24,5
cal,0.7714288,5,37,2
jday-jdate,0.2933335,6,131,4
CheckPalindrome,0.46666660000000004,3,12,1
boundedQueue,0.657143,6,82,6
Heap,0.5428573,4,79,5
Calculation,0.6153850000000001,8,74,6
numZero,0.43333320000000003,1,11,0
findLast,0.8,4,14,0
UnixCal,0.5238099,12,235,5
findVal,0.38,2,9,0
schedule,0.46363640000000006,13,197,23
LRS,0.6000001,4,69,11
InversePermutation,0.42857130000000004,4,27,0
power,0.36,2,15,0
DigitReverser,0.29999980000000004,1,33,2
testPad,0.4625,5,35,2
tcas,0.3694445,17,114,21
twoPred,0.375,3,15,1
pcal,0.4628572,20,327,25
sum,0.35,2,9,0
quicksort,0.42000000000000004,3,40,1
MergeSort,0.3000001,4,51,1
checkIt,0.6285718,4,10,0
printPrimes,0.1999998,2,41,2
print_tokens,0.5421051,13,324,32
lastZero,0.25,1,11,0
Queue,0.8714287000000001,7,71,0
