schedule2,0.14782630000000002,5,45,10
Gaussian,0.0,0,0,0
Stack,0.3125,2,6,0
date-plus,0.1966667,7,48,9
RecursiveSelectionSort,0.2714283,2,6,0
print_tokens2,0.20625,4,132,24
countPositive,0.3999998,1,6,1
replace,0.2079363,16,198,43
stats,0.29999980000000004,2,9,2
totinfo,0.156,7,66,14
trashAndTakeOut,0.29,3,9,0
oddOrPos,0.33999999999999997,1,12,3
cal,0.4714284,3,15,4
jday-jdate,0.1600001,3,6,0
CheckPalindrome,0.4499999,2,6,1
boundedQueue,0.44285699999999995,4,21,2
Heap,0.5714288,4,24,2
Calculation,0.5153846,6,36,5
numZero,0.43333320000000003,1,6,1
findLast,0.52,2,6,0
UnixCal,0.2142855,6,66,6
findVal,0.3,2,6,1
schedule,0.2363636,5,36,9
LRS,0.5833332999999999,3,27,8
InversePermutation,0.3285712,3,15,3
power,0.52,3,6,0
DigitReverser,0.1999998,1,6,4
testPad,0.5,5,15,1
tcas,0.25,12,42,12
twoPred,0.3875,3,6,0
pcal,0.1142857,6,123,28
sum,0.15,1,3,1
quicksort,0.4,2,18,1
MergeSort,0.4785714,7,21,0
checkIt,0.0,0,0,0
printPrimes,0.3666664,2,15,2
print_tokens,0.3578948,7,63,10
lastZero,0.25,1,6,1
Queue,0.1999998,2,9,1
