schedule2,0.1739131,5,34,5
Gaussian,0.1000001,1,10,0
Stack,0.3,3,14,6
date-plus,0.18,6,32,4
RecursiveSelectionSort,0.1571427,1,6,0
print_tokens2,0.30625,5,92,18
countPositive,0.3999998,1,4,0
replace,0.190476,14,134,21
stats,0.26666650000000003,1,6,0
totinfo,0.292,10,86,11
trashAndTakeOut,0.29,3,6,0
oddOrPos,0.27999999999999997,1,8,2
cal,0.3999997,2,10,2
jday-jdate,0.13333319999999999,2,4,0
CheckPalindrome,0.29999980000000004,2,4,0
boundedQueue,0.44285699999999995,4,14,0
Heap,0.3714284,2,16,2
Calculation,0.4999999,6,24,3
numZero,0.43333320000000003,1,4,0
findLast,0.52,2,4,0
UnixCal,0.1523808,4,44,0
findVal,0.27999999999999997,1,4,0
schedule,0.1863637,4,24,3
LRS,0.46666670000000005,2,18,3
InversePermutation,0.2428569,2,10,0
power,0.3,2,4,0
DigitReverser,0.1999998,1,4,2
testPad,0.2375,3,10,0
tcas,0.2055556,10,28,8
twoPred,0.275,2,4,0
pcal,0.11428560000000001,6,84,12
sum,0.15,1,2,0
quicksort,0.38,2,12,0
MergeSort,0.2142858,3,14,0
checkIt,0.0,0,0,0
printPrimes,0.1999998,2,10,1
print_tokens,0.3894736,8,48,4
lastZero,0.25,1,4,0
Queue,0.6714289,5,18,0
