schedule2,0.1391307,5,38,2
Gaussian,0.14117649999999998,3,8,0
Stack,0.7125,5,16,1
date-plus,0.19,7,18,0
RecursiveSelectionSort,0.1857141,1,4,0
print_tokens2,0.25,5,122,5
countPositive,0.333333,1,2,0
replace,0.20158710000000002,14,80,2
stats,0.0,0,0,0
totinfo,0.2,9,40,2
trashAndTakeOut,0.37,4,6,0
oddOrPos,0.26,1,2,0
cal,0.3857139,3,4,0
jday-jdate,0.19333329999999999,4,4,0
CheckPalindrome,0.29999980000000004,2,2,0
boundedQueue,0.3142855,3,8,0
Heap,0.2571426,2,10,0
Calculation,0.3692304,4,10,0
numZero,0.43333320000000003,1,2,0
findLast,0.32,1,2,0
UnixCal,0.3095235,7,24,0
findVal,0.2,1,2,0
schedule,0.21818200000000001,6,34,2
LRS,0.3000001,1,6,0
InversePermutation,0.1571427,1,2,0
power,0.3,2,2,0
DigitReverser,0.0,0,0,0
testPad,0.075,1,4,0
tcas,0.0916667,4,12,1
twoPred,0.275,2,4,0
pcal,0.3514287,14,42,1
sum,0.0,0,0,0
quicksort,0.24,1,4,0
MergeSort,0.14285730000000002,2,4,0
checkIt,0.2428569,2,2,0
printPrimes,0.033333299999999996,1,6,0
print_tokens,0.36315780000000003,8,44,1
lastZero,0.25,1,2,0
Queue,0.8142859,6,18,0
