schedule2,0.0739132,3,19,0
Gaussian,0.2117649,4,51,0
Stack,0.0,0,0,0
date-plus,0.053333399999999996,2,8,0
RecursiveSelectionSort,0.0999999,1,8,2
print_tokens2,0.1,2,9,0
countPositive,0.0,0,0,0
replace,0.2142855,14,152,7
stats,0.3833332,2,26,2
totinfo,0.20800000000000002,8,161,1
trashAndTakeOut,0.33999999999999997,4,24,0
oddOrPos,0.27999999999999997,1,8,4
cal,0.4142855,3,24,0
jday-jdate,0.3399999,7,176,3
CheckPalindrome,0.0,0,0,0
boundedQueue,0.3428569,4,44,1
Heap,0.39999989999999996,3,44,2
Calculation,0.07692299999999999,1,4,0
numZero,0.0,0,0,0
findLast,0.4,2,4,0
UnixCal,0.22380930000000002,5,125,1
findVal,0.0,0,0,0
schedule,0.1454545,3,16,0
LRS,0.5500001,3,28,9
InversePermutation,0.0,0,0,0
power,0.16,1,4,0
DigitReverser,0.1999998,1,28,0
testPad,0.3625,4,12,1
tcas,0.0416668,2,4,0
twoPred,0.125,1,4,0
pcal,0.1285713,7,128,6
sum,0.15,1,4,0
quicksort,0.3,1,8,0
MergeSort,0.1857144,2,24,1
checkIt,0.0,0,0,0
printPrimes,0.2333331,2,12,0
print_tokens,0.1105264,3,29,0
lastZero,0.0,0,0,0
Queue,0.0,0,0,0
