schedule2,0.19130439999999999,6,118,38
Gaussian,0.0470592,1,13,0
Stack,0.25,2,11,0
date-plus,0.0333334,2,22,7
RecursiveSelectionSort,0.22857129999999998,2,31,3
print_tokens2,0.11875,3,110,25
countPositive,0.5,1,5,1
replace,0.3222219,24,550,152
stats,0.46666660000000004,2,38,9
totinfo,0.132,5,158,31
trashAndTakeOut,0.36,4,40,4
oddOrPos,0.3,1,5,1
cal,0.557143,4,30,3
jday-jdate,0.1666666,3,85,4
CheckPalindrome,0.0,0,0,0
boundedQueue,0.3285712,4,62,11
Heap,0.35714260000000003,2,25,1
Calculation,0.3692304,4,30,4
numZero,0.333333,1,5,3
findLast,0.33999999999999997,1,5,1
UnixCal,0.2142855,5,135,11
findVal,0.32,1,10,3
schedule,0.2681817,8,95,13
LRS,0.5166667,3,40,13
InversePermutation,0.3285712,3,25,6
power,0.45999999999999996,3,20,2
DigitReverser,0.29999980000000004,1,30,1
testPad,0.4,5,25,4
tcas,0.247222,12,100,27
twoPred,0.2,2,10,5
pcal,0.12285729999999999,6,125,17
sum,0.525,2,10,1
quicksort,0.33999999999999997,2,45,2
MergeSort,0.1928571,3,25,0
checkIt,0.0,0,0,0
printPrimes,0.1999998,2,40,6
print_tokens,0.1526316,5,193,33
lastZero,0.575,2,10,1
Queue,0.2428569,2,15,2
