schedule2,0.1304351,4,44,19
Gaussian,0.0470592,1,2,0
Stack,0.175,1,4,0
date-plus,0.0199999,1,4,0
RecursiveSelectionSort,0.2571426,2,6,0
print_tokens2,0.1125,3,44,9
countPositive,0.333333,1,2,0
replace,0.20158710000000002,14,220,66
stats,0.1666669,1,4,0
totinfo,0.096,3,28,0
trashAndTakeOut,0.32999999999999996,3,16,2
oddOrPos,0.2,1,2,0
cal,0.4857142,3,12,0
jday-jdate,0.0866667,2,34,0
CheckPalindrome,0.0,0,0,0
boundedQueue,0.0999999,1,24,6
Heap,0.3428569,2,10,0
Calculation,0.2384613,3,12,2
numZero,0.0,0,2,2
findLast,0.2,1,2,0
UnixCal,0.1857141,4,54,0
findVal,0.18,1,4,2
schedule,0.1909091,5,38,4
LRS,0.3666666,2,16,8
InversePermutation,0.3142854,3,10,0
power,0.32,2,8,0
DigitReverser,0.29999980000000004,1,12,0
testPad,0.45,5,10,0
tcas,0.247222,11,40,4
twoPred,0.075,1,4,2
pcal,0.0942856,5,50,2
sum,0.375,2,4,0
quicksort,0.26,2,18,2
MergeSort,0.1571428,2,10,0
checkIt,0.0,0,0,0
printPrimes,0.1999998,2,16,0
print_tokens,0.1315789,4,76,12
lastZero,0.5,2,4,0
Queue,0.17142839999999998,2,6,0
