schedule2,0.1478262,6,85,10
Gaussian,0.2117648,4,25,1
Stack,0.575,5,35,8
date-plus,0.2933333,11,80,8
RecursiveSelectionSort,0.2999997,2,15,2
print_tokens2,0.49375,10,230,36
countPositive,0.6666667000000001,2,10,1
replace,0.3714282,27,335,59
stats,0.3833332,2,15,4
totinfo,0.472,17,215,42
trashAndTakeOut,0.61,7,15,0
oddOrPos,0.6,3,20,5
cal,0.7714288,5,25,4
jday-jdate,0.2600002,5,10,1
CheckPalindrome,0.6166667,3,10,1
boundedQueue,0.3857141,4,35,6
Heap,0.6571431,5,40,4
Calculation,0.5692311,7,60,8
numZero,0.7333336,2,10,1
findLast,0.45999999999999996,2,10,0
UnixCal,0.561905,12,110,13
findVal,0.5599999999999999,3,10,1
schedule,0.4,9,60,8
LRS,0.6999999,4,45,13
InversePermutation,0.35714260000000003,3,25,3
power,0.36,2,10,1
DigitReverser,0.29999980000000004,1,10,2
testPad,0.625,6,25,2
tcas,0.39722219999999997,17,70,22
twoPred,0.55,4,10,0
pcal,0.3828572,15,210,34
sum,0.2,1,5,2
quicksort,0.27999999999999997,2,30,4
MergeSort,0.5285715,8,35,2
checkIt,0.0,0,0,0
printPrimes,0.3666664,2,25,4
print_tokens,0.45789479999999994,10,120,18
lastZero,0.625,2,10,1
Queue,0.8142859,7,45,9
